Port,Mode,AllowedVlan,AccessVlan,Status,Speed
topology/pod-1/node-101/sys/phys-[eth1/33]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-101/sys/phys-[eth1/34]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-101/sys/phys-[eth1/1]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/2]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/3]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/4]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/5]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/6]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/7]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/8]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/9]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/10]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/11]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/12]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/13]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/14]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/15]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/16]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/17]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/18]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/19]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/20]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/21]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/22]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/23]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/24]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/25]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/26]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/27]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/28]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/29]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/30]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-101/sys/phys-[eth1/31]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-101/sys/phys-[eth1/32]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/33]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-102/sys/phys-[eth1/34]/phys,trunk,,vlan-1,down,10G
topology/pod-1/node-102/sys/phys-[eth1/1]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/2]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/3]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/4]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/5]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/6]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/7]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/8]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/9]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/10]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/11]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/12]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/13]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/14]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/15]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/16]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/17]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/18]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/19]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/20]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/21]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/22]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/23]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/24]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/25]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/26]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/27]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/28]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/29]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/30]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-102/sys/phys-[eth1/31]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-102/sys/phys-[eth1/32]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/33]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/34]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/35]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/36]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/37]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/38]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/39]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/40]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/41]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/42]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/43]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/44]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/45]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/46]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/47]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/48]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/49]/phys,trunk,"63,82,129-130,176,233,266",vlan-176,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/50]/phys,trunk,"63,82,129-130,176,233,266",vlan-176,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1101/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1101/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1101/sys/phys-[eth1/1]/phys,trunk,"15,20-22,48,75,78,89,106,111-113,126,145,188,242-243,247-248",vlan-242,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/2]/phys,trunk,"15,20-22,48,75,78,89,106,111-113,126,145,188,242-243,247-248",vlan-242,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/3]/phys,trunk,"16,19,27,30,43-47,49,65,68,79,103,121,123,125,127,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/4]/phys,trunk,"16,19,27,30,43-47,49,65,68,79,103,121,123,125,127,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/5]/phys,trunk,"6,23,74,76-77,80,104-105,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/6]/phys,trunk,"6,23,74,76-77,80,104-105,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/7]/phys,trunk,"3,50,52-57,59,70-71,83-85,88,90,98-102,107,110,119,128,138,154-155,172-173,178,181-182,200-203,207-214,216-218,232,234-235",vlan-202,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/8]/phys,trunk,"3,50,52-57,59,70-71,83-85,88,90,98-102,107,110,119,128,138,154-155,172-173,178,181-182,200-203,207-214,216-218,232,234-235",vlan-202,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/9]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/10]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/11]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/12]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/13]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1101/sys/phys-[eth1/23]/phys,trunk,"3-35,38-62,64-81,83-107,110-128,131-174,177-203,205,207-214,216-218,220-232,234-235,238-242,244-254,257-260",vlan-242,up,10G
topology/pod-1/node-1101/sys/phys-[eth1/24]/phys,trunk,"3-35,38-62,64-81,83-107,110-128,131-174,177-203,205,207-214,216-218,220-232,234-235,238-242,244-254,257-260",vlan-242,up,10G
topology/pod-1/node-1101/sys/phys-[eth1/25]/phys,trunk,236-237,vlan-237,up,1G
topology/pod-1/node-1101/sys/phys-[eth1/26]/phys,trunk,236-237,vlan-237,up,1G
topology/pod-1/node-1101/sys/phys-[eth1/27]/phys,trunk,236-237,vlan-237,up,1G
topology/pod-1/node-1101/sys/phys-[eth1/28]/phys,trunk,236-237,vlan-237,up,1G
topology/pod-1/node-1101/sys/phys-[eth1/29]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/30]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/31]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1101/sys/phys-[eth1/32]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/33]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/34]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/35]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/36]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/37]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/38]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/39]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/40]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/41]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/42]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/43]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/44]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/45]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/46]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/47]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/48]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/49]/phys,trunk,"14,20,64,83,206,232,263",vlan-206,up,100G
topology/pod-1/node-1102/sys/phys-[eth1/50]/phys,trunk,"14,20,64,83,206,232,263",vlan-206,up,100G
topology/pod-1/node-1102/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1102/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1102/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1102/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1102/sys/phys-[eth1/1]/phys,trunk,"9,12,15-16,48-49,51-53,73,89,98,117,146,188,242-243,247-248",vlan-242,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/2]/phys,trunk,"9,12,15-16,48-49,51-53,73,89,98,117,146,188,242-243,247-248",vlan-242,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/3]/phys,trunk,"6,13,22,27,29-30,32-33,37,62,67,75-81,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/4]/phys,trunk,"6,13,22,27,29-30,32-33,37,62,67,75-81,180,191-192,194-198,205,220-231,238",vlan-227,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/5]/phys,trunk,"7-8,11,54,88,91,119,122,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/6]/phys,trunk,"7-8,11,54,88,91,119,122,177,179,187,239,244,249-250",vlan-179,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/7]/phys,trunk,"3-5,10,25,31,38-41,45,47,84-87,90,92-96,110,118,121,138,154-155,172-173,178,181-182,200-203,207-214,216-218,233-235",vlan-202,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/8]/phys,trunk,"3-5,10,25,31,38-41,45,47,84-87,90,92-96,110,118,121,138,154-155,172-173,178,181-182,200-203,207-214,216-218,233-235",vlan-202,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/9]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/10]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/11]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/12]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/13]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1102/sys/phys-[eth1/23]/phys,trunk,"3-13,15-19,21-62,66-82,84-104,107-203,205,207-214,216-218,220-231,233-235,238-242,244-254,260-261",vlan-242,up,10G
topology/pod-1/node-1102/sys/phys-[eth1/24]/phys,trunk,"3-13,15-19,21-62,66-82,84-104,107-203,205,207-214,216-218,220-231,233-235,238-242,244-254,260-261",vlan-242,up,10G
topology/pod-1/node-1102/sys/phys-[eth1/25]/phys,trunk,256-257,vlan-257,up,1G
topology/pod-1/node-1102/sys/phys-[eth1/26]/phys,trunk,256-257,vlan-257,up,1G
topology/pod-1/node-1102/sys/phys-[eth1/27]/phys,trunk,256-257,vlan-257,up,1G
topology/pod-1/node-1102/sys/phys-[eth1/28]/phys,trunk,256-257,vlan-257,up,1G
topology/pod-1/node-1102/sys/phys-[eth1/29]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/30]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/31]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1102/sys/phys-[eth1/32]/phys,trunk,,unknown,down,25G
topology/pod-1/node-1103/sys/phys-[eth1/33]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/34]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/35]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/36]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/37]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/38]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/39]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/40]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/41]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/42]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/43]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/44]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/45]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/46]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/47]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/48]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/49]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/50]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/51]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/52]/phys,trunk,,vlan-1,down,100G
topology/pod-1/node-1103/sys/phys-[eth1/53]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1103/sys/phys-[eth1/54]/phys,trunk,,vlan-1,up,100G
topology/pod-1/node-1103/sys/phys-[eth1/1]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/2]/phys,trunk,7,unknown,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/3]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/4]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/5]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/6]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/7]/phys,trunk,21-22,vlan-22,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/8]/phys,trunk,23-26,vlan-26,up,10G
topology/pod-1/node-1103/sys/phys-[eth1/9]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/10]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/11]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/12]/phys,trunk,"5-6,8-9,11,13-18,27-31,34-41,45-46,48-49",vlan-46,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/13]/phys,trunk,"10,12",vlan-12,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/14]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/15]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/16]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/17]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/18]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/19]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/20]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/21]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/22]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/23]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/24]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/25]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/26]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/27]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/28]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/29]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/30]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/31]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1103/sys/phys-[eth1/32]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/33]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/34]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/35]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/36]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/37]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/38]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/39]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/40]/phys,trunk,,unknown,down,10G
topology/pod-1/node-1104/sys/phys-[eth1/41]/phys,trunk,,unknown,down,10G
